Genome,charge
MW587042|Human_CoV_OC43|China|May-2016/Dec-2017|2017|Homo_sapiens,-17.70
MW587040|Human_CoV_OC43|China|May-2016/Dec-2017|2017|Homo_sapiens,-17.70
MW938760|Human_CoV_OC43|Hong_Kong|08-Aug-2019|2019|Homo_sapiens,-18.70
MW202339|Human_CoV_OC43|USA|2018|2018|Homo_sapiens,-13.74
LC654456|Human_CoV_OC43|Japan|2016|2016|Homo_sapiens,-13.75
LC654454|Human_CoV_OC43|Japan|2018|2018|Homo_sapiens,-16.71
LC654453|Human_CoV_OC43|Japan|2018|2018|Homo_sapiens,-15.78
LC654452|Human_CoV_OC43|Japan|2018|2018|Homo_sapiens,-16.71
LC654451|Human_CoV_OC43|Japan|2019|2019|Homo_sapiens,-15.71
LC654450|Human_CoV_OC43|Japan|2017|2017|Homo_sapiens,-14.75
LC315649|Human_CoV_OC43|Japan|2016|2016|Homo_sapiens,-13.76
LC315648|Human_CoV_OC43|Japan|2015|2015|Homo_sapiens,-17.74
LC315647|Human_CoV_OC43|Japan|2014|2014|Homo_sapiens,-17.70
LC315646|Human_CoV_OC43|Japan|2014|2014|Homo_sapiens,-16.74
OK318944|Human_CoV_OC43|China|12-Mar-2019|2019|Homo_sapiens,-16.78
OK318943|Human_CoV_OC43|China|12-Jan-2019|2019|Homo_sapiens,-16.78
OK318942|Human_CoV_OC43|China|20-Dec-2018|2018|Homo_sapiens,-16.78
OK318941|Human_CoV_OC43|China|29-Nov-2018|2018|Homo_sapiens,-15.78
OK318940|Human_CoV_OC43|China|09-Dec-2018|2018|Homo_sapiens,-16.78
OK318939|Human_CoV_OC43|China|30-Nov-2018|2018|Homo_sapiens,-16.78
OK318918|Human_CoV_OC43|China|03-Jun-2019|2019|Homo_sapiens,-18.72
OK318917|Human_CoV_OC43|China|10-Aug-2019|2019|Homo_sapiens,-17.72
MZ450972|Human_CoV_OC43|USA|2021|2021|Homo_sapiens,-18.70
KY554975|Human_CoV_OC43|USA|2016|2016|Homo_sapiens,-16.66
KY554974|Human_CoV_OC43|USA|2016|2016|Homo_sapiens,-17.66
KY554972|Human_CoV_OC43|USA|2016|2016|Homo_sapiens,-17.70
KY674920|Human_CoV_OC43|USA|2016|2016|Homo_sapiens,-16.66
KY674918|Human_CoV_OC43|USA|2016|2016|Homo_sapiens,-17.70
KY674917|Human_CoV_OC43|USA|2016|2016|Homo_sapiens,-17.70
MW532119|Human_CoV_OC43|China|03-Nov-2017|2017|Homo_sapiens,-17.68
MW532118|Human_CoV_OC43|China|08-Apr-2017|2017|Homo_sapiens,-17.70
MW532117|Human_CoV_OC43|China|05-Jun-2017|2017|Homo_sapiens,-17.70
MW532116|Human_CoV_OC43|China|01-Dec-2017|2017|Homo_sapiens,-17.70
MW532115|Human_CoV_OC43|China|06-Aug-2017|2017|Homo_sapiens,-17.70
MW532114|Human_CoV_OC43|China|12-Aug-2017|2017|Homo_sapiens,-19.74
MW532113|Human_CoV_OC43|China|02-Aug-2017|2017|Homo_sapiens,-17.70
MW532112|Human_CoV_OC43|China|05-Jan-2010|2010|Homo_sapiens,-16.58
MW532111|Human_CoV_OC43|China|12-Mar-2009|2009|Homo_sapiens,-17.66
MW532110|Human_CoV_OC43|China|09-Jun-2009|2009|Homo_sapiens,-17.70
