Genome,charge
MW587038|Human_CoV_229E|China|May-2016/Dec-2017|2017|Homo_sapiens,-7.30
MW587037|Human_CoV_229E|China|May-2016/Dec-2017|2017|Homo_sapiens,-7.30
MW587035|Human_CoV_229E|China|May-2016/Dec-2017|2017|Homo_sapiens,-7.26
OK625404|Human_CoV_229E|South_Korea|2017|2017|Homo_sapiens,-13.43
NC_028752|Camel_alphaCoV|Saudi_Arabia|Mar-2015|2015|Camel,-16.47
MW202340|Human_CoV_229E|USA|2018|2018|Homo_sapiens,-8.26
LC654446|Human_CoV_229E|Japan|2020|2020|Homo_sapiens,-8.26
LC654445|Human_CoV_229E|Japan|2020|2020|Homo_sapiens,-6.30
NC_002645|Human_CoV_229E|None|None|None|None,-12.46
KY674919|Human_CoV_229E|USA|2008|2008|Homo_sapiens,-6.33
MW532107|Human_CoV_229E|China|15-Apr-2009|2009|Homo_sapiens,-7.29
MW532106|Human_CoV_229E|China|09-Jun-2009|2009|Homo_sapiens,-7.29
MW532105|Human_CoV_229E|China|06-Sep-2017|2017|Homo_sapiens,-8.26
MW532104|Human_CoV_229E|China|02-Aug-2017|2017|Homo_sapiens,-7.30
MW532103|Human_CoV_229E|China|02-May-2017|2017|Homo_sapiens,-7.30
MT118677|Human_CoV_229E|USA|2018|2018|Homo_sapiens,-9.26
MT797634|Human_CoV_229E|Hong_Kong|2020-01|2020|Homo_sapiens,-6.30
MW039392|Human_CoV_229E|Italy|18-Mar-2020|2020|Homo_sapiens,-9.26
MT438700|Human_CoV_229E|USA|27-Jan-2017|2017|Homo_sapiens,-7.26
MT438698|Human_CoV_229E|USA|24-Feb-2017|2017|Homo_sapiens,-7.22
MT438697|Human_CoV_229E|USA|24-Feb-2017|2017|Homo_sapiens,-7.22
MT438696|Human_CoV_229E|USA|09-Feb-2016|2016|Homo_sapiens,-5.16
MN369046|Human_CoV_229E|USA|2018|2018|Homo_sapiens,-7.30
MN306046|Human_CoV_229E|USA|2019|2019|Homo_sapiens,-7.30
KY983587|Human_CoV_229E|USA|2015|2015|Homo_sapiens,-7.22
KY967357|Human_CoV_229E|USA|2015|2015|Homo_sapiens,-7.22
KY621348|Human_CoV_229E|USA|2016|2016|Homo_sapiens,-8.18
KY674914|Human_CoV_229E|USA|2016|2016|Homo_sapiens,-8.18
KY684760|Human_CoV_229E|USA|2016|2016|Homo_sapiens,-9.22
KY369909|Human_CoV_229E|USA|2016|2016|Homo_sapiens,-8.18
KY369914|Human_CoV_229E|USA|2016|2016|Homo_sapiens,-7.26
KY369913|Human_CoV_229E|USA|2016|2016|Homo_sapiens,-6.23
KY369912|Human_CoV_229E|USA|2016|2016|Homo_sapiens,-7.26
KY369911|Human_CoV_229E|USA|2016|2016|Homo_sapiens,-5.22
KY369910|Human_CoV_229E|USA|2016|2016|Homo_sapiens,-5.22
KY369908|Human_CoV_229E|USA|2016|2016|Homo_sapiens,-8.22
MF542265|Human_CoV_229E|Haiti|Mar-2016|2016|Homo_sapiens,-8.26
MF593473|Camel_alphaCoV|United_Arab_Emirates|2015|2015|Camel,-16.43
KY996417|Human_CoV_229E|USA|23-Nov-2016|2016|None,-8.29
KT253328|Camel_alphaCoV_Camel229E|Saudi_Arabia|2014|2014|Camel,-18.46
