Genome,charge
LC642814.1|BCoV|Bos_taurus|Japan|2020,-25.74
MW711287.1|BCoV|Bos_taurus|China|2020,-23.75
MN982199.1|BCoV|Bos_taurus|China|2018,-23.71
MN982198.1|BCoV|Bos_taurus|China|2018,-25.71
NC|003045.1|BCoV|Bos_taurus|None|None,-22.79
LC494178.1|BCoV|Bos_taurus|Japan|2016,-24.74
LC494177.1|BCoV|Bos_taurus|Japan|2008,-23.75
LC494176.1|BCoV|Bos_taurus|Japan|2016,-24.74
LC494175.1|BCoV|Bos_taurus|Japan|2016,-24.74
LC494174.1|BCoV|Bos_taurus|Japan|2008,-22.71
LC494173.1|BCoV|Bos_taurus|Japan|2008,-23.75
LC494172.1|BCoV|Bos_taurus|Japan|2007,-22.75
LC494171.1|BCoV|Bos_taurus|Japan|2010,-24.74
LC494170.1|BCoV|Bos_taurus|Japan|2010,-23.75
LC494169.1|BCoV|Bos_taurus|Japan|2009,-23.71
LC494167.1|BCoV|Bos_taurus|Japan|2008,-23.78
LC494166.1|BCoV|Bos_taurus|Japan|2008,-23.74
LC494165.1|BCoV|Bos_taurus|Japan|2008,-25.74
LC494164.1|BCoV|Bos_taurus|Japan|2006,-24.74
LC494163.1|BCoV|Bos_taurus|Japan|2006,-24.74
LC494162.1|BCoV|Bos_taurus|Japan|2006,-23.75
LC494161.1|BCoV|Bos_taurus|Japan|2007,-23.74
LC494160.1|BCoV|Bos_taurus|Japan|2007,-23.74
LC494159.1|BCoV|Bos_taurus|Japan|2017,-23.78
LC494158.1|BCoV|Bos_taurus|Japan|2016,-24.75
LC494157.1|BCoV|Bos_taurus|Japan|2015,-24.74
LC494156.1|BCoV|Bos_taurus|Japan|2014,-24.71
LC494155.1|BCoV|Bos_taurus|Japan|2014,-23.75
LC494154.1|BCoV|Bos_taurus|Japan|2014,-23.75
LC494153.1|BCoV|Bos_taurus|Japan|2017,-24.74
LC494152.1|BCoV|Bos_taurus|Japan|2017,-24.74
LC494151.1|BCoV|Bos_taurus|Japan|2017,-24.74
LC494150.1|BCoV|Bos_taurus|Japan|2017,-24.74
LC494149.1|BCoV|Bos_taurus|Japan|2016,-24.74
LC494148.1|BCoV|Bos_taurus|Japan|2016,-24.74
LC494147.1|BCoV|Bos_taurus|Japan|2016,-24.74
LC494146.1|BCoV|Bos_taurus|Japan|2016,-25.74
LC494145.1|BCoV|Bos_taurus|Japan|2016,-25.74
LC494144.1|BCoV|Bos_taurus|Japan|2016,-23.74
LC494143.1|BCoV|Bos_taurus|Japan|2016,-23.74
LC494142.1|BCoV|Bos_taurus|Japan|2016,-24.78
LC494141.1|BCoV|Bos_taurus|Japan|2016,-25.74
LC494140.1|BCoV|Bos_taurus|Japan|2015,-23.82
LC494139.1|BCoV|Bos_taurus|Japan|2015,-24.74
LC494138.1|BCoV|Bos_taurus|Japan|2015,-22.78
LC494137.1|BCoV|Bos_taurus|Japan|2013,-23.78
LC494136.1|BCoV|Bos_taurus|Japan|2012,-23.75
LC494135.1|BCoV|Bos_taurus|Japan|2012,-23.75
LC494134.1|BCoV|Bos_taurus|Japan|2012,-24.78
LC494133.1|BCoV|Bos_taurus|Japan|2011,-23.78
LC494132.1|BCoV|Bos_taurus|Japan|2011,-22.74
LC494131.1|BCoV|Bos_taurus|Japan|2011,-23.74
LC494130.1|BCoV|Bos_taurus|Japan|2010,-25.74
LC494129.1|BCoV|Bos_taurus|Japan|2010,-24.74
LC494128.1|BCoV|Bos_taurus|Japan|2012,-24.75
LC494127.1|BCoV|Bos_taurus|Japan|2012,-24.74
LC494126.1|BCoV|Bos_taurus|Japan|2016,-24.72
LC494192.1|BCoV|Bos_taurus|Japan|2017,-23.74
LC494191.1|BCoV|Bos_taurus|Japan|2017,-24.74
LC494190.1|BCoV|Bos_taurus|Japan|2017,-23.75
LC494189.1|BCoV|Bos_taurus|Japan|2017,-24.74
LC494188.1|BCoV|Bos_taurus|Japan|2017,-25.74
LC494187.1|BCoV|Bos_taurus|Japan|2017,-24.74
LC494186.1|BCoV|Bos_taurus|Japan|2017,-24.74
LC494185.1|BCoV|Bos_taurus|Japan|2017,-24.74
LC494184.1|BCoV|Bos_taurus|Japan|2017,-24.74
LC494183.1|BCoV|Bos_taurus|Japan|2017,-24.74
LC494182.1|BCoV|Bos_taurus|Japan|2016,-24.74
LC494181.1|BCoV|Bos_taurus|Japan|2016,-24.74
LC494180.1|BCoV|Bos_taurus|Japan|2016,-24.74
LC494179.1|BCoV|Bos_taurus|Japan|2016,-24.74
MG757142.1|BCoV|Bos_taurus|France|2014,-19.79
MG757141.1|BCoV|Bos_taurus|France|2014,-19.79
MG757140.1|BCoV|Bos_taurus|France|2014,-19.79
MG757139.1|BCoV|Bos_taurus|France|2014,-19.79
MG757138.1|BCoV|Bos_taurus|France|2014,-20.83
MH043955.1|BCoV|Bos_taurus|USA|2016,-22.82
MH043954.1|BCoV|Bos_taurus|USA|2017,-23.82
MH043953.1|BCoV|Bos_taurus|USA|2017,-23.79
MH043952.1|BCoV|Bos_taurus|USA|2017,-21.75
MG518518.1|BCoV|waterdeer|SouthKorea|2017,-25.85
KX982264.1|BCoV|Bos_taurus|France|2014,-19.83
FJ425190.1|BCoV|sambar-deer|USA|1994,-25.78
FJ425189.1|BCoV|sambar-deer|USA|1994,-25.78
FJ425188.1|BCoV|sambar-deer|USA|1994,-24.82
FJ425187.1|BCoV|white-tailed-deer|USA|1994,-24.82
FJ425186.1|BCoV|waterbuck|USA|1994,-25.78
FJ425185.1|BCoV|waterbuck|USA|1994,-25.78
FJ425184.1|BCoV|waterbuck|USA|1994,-26.78
EF424624.1|BCoV|giraffe|USA|None,-25.74
EF424623.1|BCoV|giraffe|USA|None,-25.74
EF424622.1|BCoV|giraffe|USA|None,-25.74
EF424621.1|BCoV|antelope|USA|None,-24.74
EF424620.1|BCoV|Bos_taurus|USA|None,-23.82
EF424618.1|BCoV|Bos_taurus|USA|None,-22.78
EF424617.1|BCoV|Bos_taurus|USA|None,-22.78
EF424616.1|BCoV|Bos_taurus|USA|None,-22.78
EF424615.1|BCoV|Bos_taurus|USA|None,-24.82
KU886219.1|BCoV|Bos_taurus|China|2015,-24.68
AF391542.1|BCoV|Bos_taurus|None|None,-21.79
AF220295.1|BCoV|Bos_taurus|None|None,-18.69
AF391541.1|BCoV|Bos_taurus|None|None,-22.79
DQ811784.2|BCoV|Bos_taurus|None|1983,-22.75
FJ938065.1|BCoV|Bos_taurus|USA|2000,-23.82
FJ938064.1|BCoV|Bos_taurus|USA|2000,-23.82
FJ938063.1|BCoV|Bos_taurus|USA|1996,-20.79
U00735.2|BCoV|Bos_taurus|None|None,-20.68
AB354579.1|BCoV|Bos_taurus|Japan|None,-21.68
DQ915164.2|BCoV|alpaca|USA|None,-21.82
